state,scheme_name,about,eligibility,link
MADHYA PRADESH,Bhavantar Bhugtan Yojana,"The
Bhavantar Bhugtan Yojana
(Price Difference Payment Scheme) is a farmer welfare initiative launched by the Government of Madhya Pradesh on October 16, 2017. The scheme aims to protect farmers from market price fluctuations by compensating them when the sale price of their crops falls below the Minimum Support Price (MSP) or the Model Price, whichever is higher",Farmers facing price fluctuations; compensates difference between MSP and market price,Wikipedia Bhavantar Bhugtan
MADHYA PRADESH,Fal Podharopan Yojana,"The Fal Podharopan Yojana
(Fruit Plantation Scheme) is an initiative by the Government of Madhya Pradesh, aiming to promote fruit cultivation and enhance farmers' income through subsidies on fruit sapling plantation.",Farmers planting fruit saplings; 40-50% subsidy over 3 years,myscheme.gov.in
MADHYA PRADESH,Surya Mitra Krishi Feeder Scheme,"The
Surya Mitra Krishi Feeder Yojana
is a transformative initiative by the Government of Madhya Pradesh, aiming to solarize agricultural feeders and empower farmers as energy producers. This project aligns with the central government's Pradhan Mantri KUSUM Scheme and is managed by the Madhya Pradesh Urja Vikas Nigam (MPUVN)",Farmers with land near substations; setting up solar power plants,ET Energy Article
MADHYA PRADESH,Mukhya Mantri Krishi Sinchai Yojana,"The
Mukhya Mantri Krishi Sinchai Yojana
is a state-level initiative by the Madhya Pradesh government, designed to enhance irrigation facilities for farmers through subsidies on various irrigation equipment. The scheme aims to improve water-use efficiency and support sustainable agriculture practices across the state.",Farmers; expanding irrigation facilities,agriportal.mp.gov.in
MADHYA PRADESH,Gomukh Reservoir Irrigation Project,"The Gomukh Reservoir Irrigation Project is a significant water infrastructure initiative launched by the Madhya Pradesh government to enhance irrigation facilities in the Jabalpur and Mandla districts. With a budget allocation of ?1,400 crore, the project aims to benefit approximately 25,000 farmers and cover nearly 25,000 hectares of agricultural land",Farmers in Jabalpur and Mandla; irrigation facility expansion,TOI Article
MADHYA PRADESH,Jal Ganga Samvardhan Abhiyan,"The Jal Ganga Samvardhan Abhiyan
is a water conservation and management initiative aimed at improving water resources, promoting sustainable water use, and enhancing irrigation facilities in rural areas. The campaign typically focuses on activities like creating farm ponds, renovating water bodies, and encouraging efficient water use among farmers to support agriculture and rural livelihoods.",Farmers and communities involved in water conservation,TOI Article
WEST BENGAL,                                SCHEME,                                           EXPLANATION,                               BASIC ELIGIBILITY CRITERIA,                                                       LINK
WEST BENGAL,West Bengal Krishak Bandhu Scheme,"The West Bengal Krishak Bandhu Scheme
is a comprehensive welfare initiative launched by the state government to support farmers through financial assistance and social security measures.",Small and marginal farmers; financial assistance for crop production,krishakbandhu.net
WEST BENGAL,West Bengal Organic Farming Scheme,"The
West Bengal Organic Farming Scheme
is a comprehensive initiative by the state government aimed at promoting sustainable agriculture through organic practices, enhancing farmers' income, and ensuring food security. This scheme encompasses various programs and projects across the state, focusing on education, infrastructure, and market access for organic produce",Farmers opting for organic farming; subsidies and training provided,wbagrimarketingboard.in
WEST BENGAL,Fishery Development Scheme,"Agriculture-wise, the
Fishery Development Scheme
primarily implemented through the
Pradhan Mantri Matsya Sampada Yojana (PMMSY)
aims to sustainably boost fish production, modernize the value chain with improved infrastructure and
technology, double fisher incomes, reduce post?harvest losses, expand exports, and generate employment across the fisheries sector",Fish farmers; subsidies and infrastructure support,wbfisheries.gov.in
PUNJAB,                                SCHEME,                                           EXPLANATION,                               BASIC ELIGIBILITY CRITERIA,                                                       LINK
PUNJAB,Chief Minister Kisan Card,"Provide financial support to small and marginal farmers, especially those not covered by PM-Kisan. Enhance agricultural productivity and livelihood security. Offer crop investment help such as seeds, fertilizers, and inputs during Kharif and Rabi seasons",All farmers in Punjab,agripunjab.gov.pk
PUNJAB,Chief Minister Green Tractor Scheme,"The
Chief Minister Green Tractor Scheme
is a flagship initiative by the Punjab government aimed at modernizing agriculture by providing subsidized tractors to farmers",Farmers owning 65 HP or more tractors; provides subsidies for purchasing new tractors,agripunjab.gov.pk
PUNJAB,Solarization of Agricultural Tubewells,"The solarization of agricultural tubewells is a transformative initiative aimed at reducing farmers' dependence on conventional energy sources, thereby lowering operational costs and promoting sustainable farming practices. This approach is integral to various government schemes, notably the PM-KUSUM (Pradhan Mantri Kisan Urja Suraksha evam Utthan Mahabhiyan) in India and the CM Solarization Program for Agricultural Tubewells In Punjab, Pakistan",Farmers owning a minimum of 1 acre of land in Punjab; aims to reduce electricity consumption by promoting solar-powered tubewells,punjab.gov.pk
PUNJAB,Farm-Level Implements Subsidy Scheme,"The Farm-Level Implements Subsidy Scheme is a government initiative aimed at promoting agricultural mechanization by providing financial assistance to farmers for purchasing modern farming equipment. This scheme is part of the broader Sub-Mission on Agricultural Mechanization (SMAM) , which operates under the Ministry of Agriculture and Farmers Welfare in India",Farmers owning tractors of 65 HP or more; provides subsidies for purchasing farm implements,agripunjab.gov.pk
PUNJAB,Internship Scheme for Agricultural Graduates,"The Internship Scheme for Agricultural Graduates
in India encompasses various programs designed to provide practical experience, enhance employability, and foster entrepreneurship among young professionals in the agriculture sector",Agricultural graduates; offers practical training and exposure in the agriculture sector,agripunjab.gov.pk
PUNJAB,Interest-Free Loan Scheme for Modern Agriculture,"The Interest-Free Loan Scheme for Modern Agriculture
is a government initiative aimed at providing farmers with financial support to adopt advanced agricultural practices, thereby enhancing productivity and sustainability. This scheme is implemented at both central and state levels across India, offering interest-free loans to eligible farmers.",Small and medium-scale farmers; provides interest-free loans up to ?30 lakh for purchasing modern agricultural machinery,balochistan.org.pk
PUNJAB,Dairy Development Scheme,"The Dairy Development Scheme in India encompasses initiatives like the National Programme for Dairy Development (NPDD), Dairy Entrepreneurship Development Scheme (DEDS), and Dairy Processing & Infrastructure Development Fund (DIDF), aiming to enhance milk production, improve infrastructure, and support farmers' livelihoods",Farmers in Punjab; aims to develop the dairy sector by providing financial assistance for dairy farming,apnikheti.com
PUNJAB,Farm Tourism Scheme,"The Farm Tourism Scheme is an initiative by the Government of India to promote rural and agro-tourism by encouraging farm owners to offer their properties as tourist destinations. This scheme aims to provide tourists with an authentic rural experience, including participation in agricultural activities, cultural interactions, and enjoying the tranquility of village life.",Owners of agricultural properties in Punjab; promotes farm tourism as an alternative source of income,myscheme.gov.in
CENTRAL GOVERNMENT SCHEMES,                     SCHEME NAMES,                                  EXPLANATION,                            BASIC ELIGIBILITY CRITERIA,                                          LINK
CENTRAL GOVERNMENT SCHEMES,PM-KISAN Samman Nidhi,"The Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) is a
central government scheme in India that provides
direct income support to small and marginal farmers
to help them with agricultural needs and household expenses. To provide financial assistance to farmers so they can buy seeds, fertilizers, and other inputs, and to support their livelihood.",Indian citizen; Land-owning farmer with cultivable land; Aadhaar-linked bank account; Excludes high-income earners and institutional landholders.,https://pmkisan.gov.in/
CENTRAL GOVERNMENT SCHEMES,Pradhan Mantri Fasal Bima Yojana (PMFBY)Farmer (owner/tenant/sharecropper),"To provide
affordable crop insurance
so that farmers are financially protected against:
Natural calamities (drought, flood, cyclone, hailstorm, etc.)
Pests and diseases
Other unforeseen events that reduce yield",Cultivating notified crops in a notified area; Enrollment before cut-off date; Aadhaar & bank account required,https://pmfby.gov.in/
CENTRAL GOVERNMENT SCHEMES,Kisan Credit Card (KCC),"To provide farmers with timely and affordable credit for their cultivation needs, post-harvest expenses, and other agricultural requirements, without depending on costly informal loans.","Indian farmer engaged in agriculture, fisheries, or animal husbandry; Cultivable land or proof of farming activity; Aadhaar & bank account required.",https://pmkisan.gov.in/
CENTRAL GOVERNMENT SCHEMES,Soil Health Card Scheme,The objective of the Soil Health Card (SHC) Scheme is to promote soil management practices that increase agricultural productivity in a sustainable wayby providing farmers with a detailed report on the health of their soil.,Any farmer cultivating crops in India; Must submit soil samples; Aadhaar & land ownership/tenancy proof.,https://soilhealth.dac.gov.in
CENTRAL GOVERNMENT SCHEMES,PM Krishi Sinchai Yojana (PMKSY),The objective of the Pradhan Mantri Krishi Sinchai Yojana (PMKSY) is to improve water use efficiency in agriculture and ensure Har Khet Ko Pani (water to every farm).,Indian farmer; Land ownership proof; Area must be under notified irrigation project; Aadhaar required.,https://pmksy.gov.in/
CENTRAL GOVERNMENT SCHEMES,National Agriculture Market (e-NAM),"The objective of the National Agriculture Market (e-NAM)
is to create a unified online trading platform for agricultural commodities across India.","Farmer/trader/FPO; Aadhaar, bank account, and proof of agricultural produce for sale.",https://enam.gov.in/
CENTRAL GOVERNMENT SCHEMES,Rashtriya Krishi Vikas Yojana (RKVY),"The objective of the Rashtriya Krishi Vikas Yojana (RKVY)
is to promote holistic agricultural development by providing states with flexible funds to plan and implement need-based agricultural projects.",Farmer involved in agriculture or allied activities; Selection through state nodal agency; Aadhaar required.,https://rkvy.nic.in/
CENTRAL GOVERNMENT SCHEMES,Dairy Entrepreneurship Development Scheme (DEDS),The objective of the Dairy Entrepreneurship Development Scheme (DEDS) is to promote self-employment in the dairy sector and modernize dairy farming.,Farmer/entrepreneur; Engaged or planning to engage in dairy farming; Land & shed proof.,https://www.nabard.org
CENTRAL GOVERNMENT SCHEMES,PM Formalisation of Micro Food Processing Enterprises (PM-FME),"The objective of the PM Formalisation of Micro Food Processing Enterprises (PM-FME) Scheme is to support unorganized micro food processing units in becoming competitive, sustainable, and formally registered businesses.",Farmer/entrepreneur; Involved in food processing; Aadhaar & business plan required.,https://www.india.gov.in/pm-formalisation-micro-food-processing-enterprises-pmfme-scheme
TAMIL NADU,                     SCHEME NAMES,                                EXPLANATION,                            BASIC ELIGIBILITY CRITERIA,                                          LINK
TAMIL NADU,Uzhavar Sandhai,"The objective of the Uzhavar Sandhai (Farmers Market) Scheme
is to provide a direct marketing platform for farmers to sell their produce to consumers without middlemen.",Tamil Nadu resident; Registered farmer; Proof of agricultural produce for direct sale; Aadhaar required.,https://grains.tn.gov.in/
TAMIL NADU,Free Electricity for Farmers,"The objective of the Free Electricity for Farmers Scheme
(implemented by various state governments in India) is to
reduce irrigation costs and support farmers livelihoods by providing free or subsidized power for agricultural pump sets.",Tamil Nadu resident; Land ownership/tenancy proof; Agricultural electricity connection in farmers name.,https://www.tnebltd.gov.in/
TAMIL NADU,Kuruvai Cultivation Package,"The objective of the Kuruvai Cultivation Package (implemented mainly in Tamil Nadu) is to support paddy farmers during the short-term Kuruvai season by providing inputs, irrigation assistance, and subsidies.",Kuruvai Cultivation PackageTN resident; Landholding in delta districts; Engaged in Kuruvai paddy cultivation; Aadhaar & bank account.,https://tnagrisnet.tn.gov.in
TAMIL NADU,Tamil Nadu Chief Ministers Solar Powered Pump Set Scheme," The scheme aims to ensure that farmers have reliable electricity for irrigation by installing standalone (off-grid) solar-powered pump sets , thereby reducing their dependency on conventional power or diesel-driven irrigation systems",TN resident; Farmer with cultivable land; Existing well or borewell; Aadhaar required.,https://aed.tn.gov.in
TAMIL NADU,Micro Irrigation Scheme (State Component),"The main objective of the Micro Irrigation Scheme (State Component) is to promote efficient water use in agriculture by encouraging farmers to adopt drip and sprinkler irrigation systems, thereby increasing crop productivity and conserving water .","TN farmer; Landholding proof; Cultivating horticulture or cash crops; Aadhaar & bank account required.
Special Subsidy for Millets CultivationTN farmer; Landholding proof; Engaged in millet farming; Aadhaar required.",https://pmksy.nic.in/pmksysub/PMKSY/Login-tn.aspx
TAMIL NADU,Special Subsidy for Millets Cultivation,"The main objective of the Special Subsidy for Millets Cultivation is to encourage farmers to grow millets by providing financial assistance for seeds, inputs, and other cultivation needs, thereby promoting nutritious crops, improving farm income, and ensuring climate-resilient agriculture.",TN farmer; Landholding proof; Engaged in millet farming; Aadhaar required.,https://www.tnagrisnet.tn.gov.in/esevai/
TAMIL NADU,State Crop Insurance Scheme,"The main objective of the State Crop Insurance Scheme
is to provide financial protection to farmers against crop loss or damage caused by natural calamities, pests, and diseases, ensuring their income stability and reducing financial risk .",TN farmer (owner/tenant/sharecropper); Cultivating notified crops in notified area; Aadhaar & bank account.,https://www.tnagrisnet.tn.gov.in/people_app_demo/bene
TAMIL NADU,TN Integrated Farming System Scheme,"The main objective of the Tamil Nadu Integrated Farming System (IFS) Scheme is to increase farmers income and ensure year-round livelihood security by integrating crop cultivation with allied activities like livestock, poultry, fishery, and horticulture in a sustainable manner .",TN resident; Small or marginal farmer; Willingness to adopt integrated farming practices; Aadhaar required.,Visit Your Districts Agricultural Office or Extension Centre
TAMIL NADU,Summer Ploughing Scheme,"The main objective of the Summer Ploughing Scheme is to prepare agricultural land before the monsoon by controlling weeds, pests, and diseases, improving soil aeration, and conserving soil moisture forbetter crop yields in the upcoming season .","Rainfed farmers; Soil-deepening ploughing subsidized at ?2,000/hectare covering 3 lakh acres to boost soil health",Contact your District Agricultural Extension Centre or the nearest office of the Assistant Director of Agriculture or Deputy Director of Agriculture.
TAMIL NADU,Kalaingar All Village Integrated Agriculture Development Programme (KAVIADP),"The main objective of the Chief Ministers Dryland Development Mission (CMDDM)
is to improve the productivity and profitability of dryland farming by promoting drought-resilient crops, soil and water conservation measures, and sustainable agricultural practices .","Farmers in dryland clusters (100 ha); subsidized biofertilizers, quality seeds, organic amendments, gypsum; funding for custom hiring and value-addition machinery.",Contact District Agricultural Offices of the respective district
TAMIL NADU,PMKSY  Micro Irrigation (MI),"The main objective of PMKSY  Micro Irrigation (MI) is to enhance water-use efficiency in agriculture by promoting drip and sprinkler irrigation systems, thereby increasing crop productivity and ensuring More Crop per Drop.",Small and marginal farmers100% subsidy on micro-irrigation systems; other farmers75% subsidy; available via online MIMIS portal or local Agriculture Office.,ttps://pmksy.gov.in/microirrigation/MI_Login.aspx
TAMIL NADU,Agricultural Mechanisation & Soil-Water Conservation Schemes,The main objective of the  Agricultural Mechanisation & Soil-Water Conservation Schemesis to incease farm productivity and sustainability by promoting the use of modern agricultural machinery while conserving soil and water resources for long-term agricultural growth .,"All Tamil Nadu farmers (varies by sub-program): Agricultural Mechanisation: 25% subsidy on machinery (tractors, power tillers, rotavators, etc.). Rainwater harvesting & runoff management: up to 100% grant in community lands, 90% subsidy on patta lands. Pumpset replacement: SC/ST farmers get higher subsidy (e.g., 50% up to ?3,500); others get 25% or ?2,500 for <5 HP sets.",aed.tn.gov.in
TAMIL NADU,Nutrient Farming Mission,The main objective of the Nutrient Farming Mission is to improve soil fertility and crop productivity by promoting balanced and efficient use of organic and inorganic nutrients through sustainable farming practices .,"Agroforestry, Oilseed & Millet MissionsFarmers engaged in sandalwood/mahogany (agroforestry), oilseeds, or millet cultivation; backed by focused funding?108 cr for oilseeds, ?55 cr for millets.",Contact the District Agricultural Offices of the respective district.
TAMIL NADU,Micro-Irrigation & Solar Pumps Subsidy,"The main objective of the Micro-Irrigation & Solar Pumps Subsidy is to promote efficient water management in agriculture by encouraging the use of drip/sprinkler irrigation systems and solar-powered pumps, thereby conserving water, reducing energy costs, and increasing farm productivity.","Small/marginal farmersup to 55% subsidy on drip and sprinkler systems; a ?24 cr fund for solar pump support to 1,000 farmers (202526).","For irrigation refer: https://pmksy.gov.in/microirrigation/MI_Login.aspx
For solar pumps subsidy refer: https://pmkusum.tn.gov.in"
TAMIL NADU,Malaivazh Uzhavar Munnetra Thittam (Hill Farmers Scheme),"The main objective of the Malaivazh Uzhavar Munnetra Thittam (Hill Farmers Scheme) is to improve the livelihoods of hill farmers by promoting suitable crops, providing necessary inputs and infrastructure, and encouraging sustainable agricultural practices tailored to hilly regions.","Hill region farmers; supports milletcultivation, micro-irrigation, value addition, mechanization, and Kisan Credit Card issuance with dedicated ?22.8 crore (202526) budget.",aed.tn.gov.in
TAMIL NADU,"Agroforestry, Oilseed & Millet Missions","The main objective of the Agroforestry, Oilseed & Millet Missions is to promote sustainable agriculture by integrating tree cultivation with crops, increasing the production of oilseeds and millets, and enhancing farmers income while ensuring environmental conservation .","Farmers engaged in sandalwood/mahogany (agroforestry), oilseeds, or millet cultivation; backed by focused funding?108 cr for oilseeds, ?55 cr for millets.",aed.tn.gov.in
TAMIL NADU,Sugarcane Incentive Scheme,"The main objective of the Sugarcane Incentive Scheme is to encourage sugarcane cultivation and timely supply to sugar mills by providing financial incentives to farmers, thereby increasing their income and ensuring steady raw material availability for the sugar industry.","Sugarcane farmers who supplied to mills; receive ?349/MT bonus on top of FRP; subsidised high-yield seeds also supported.
Coconut Rejuvenation & Pest ControlCoconut cultivators; rejuvenation support and ?10.5 crore subsidy for pest control (e.g., sticky traps,parasitoid cards) across 1.68 lakh acres.",https://sugarcane.dac.gov.in/MIS/Login.aspx
TAMIL NADU,Kudimaramathu Scheme,"The main objective of the Kudimaramathu Scheme is to restore and maintain water bodies like tanks, canals, and ponds through community participation, thereby improving irrigation efficiency and ensuring sustainable water resources for agriculture.","Farmers owning or cultivating land near tanks/lakes; benefits from restoration works that augment irrigation, groundwater levels, and soil fertility
.",https://www.tn.gov.in/ta/scheme/data_view/6802
ASSAM,                     SCHEME NAMES,                                EXPLANATION,                            BASIC ELIGIBILITY CRITERIA,                                          LINK
ASSAM,Mukhyamantri Krishi Sa Sajuli Yojana (MMKSSY),"The main objective of the Mukhyamantri Krishi Sa Sajuli Yojana (MMKSSY) is to provide financial assistance to farmers for purchasing essential farm tools and equipment, thereby improving farm productivity and reducing manual labor.","Resident farmers of Assam aged ?21, engaged in farming for ?3 consecutive years, KCC holders, including small/marginal, tenant, or sharecropper farmers with ?1 acre; limited to one per family; provides ?5,000 via DBT.",https://agri.assam.gov.in/
ASSAM,Price Support Scheme (PSS),"The main objective of the Price Support Scheme (PSS)
is to ensure farmers get remunerative prices for their produce by procuring crops at the Minimum Support Price (MSP) when market prices fall below it .","Farmers of Assam producing crops like Mustard, Urad, Millet, etc.; Government procures at MSP through agencies to ensure stable remunerative prices.",https://fci.gov.in/
ASSAM,SCOPE  Poultry Entrepreneurs Scheme,"T he main objective of the SCOPE  Poultry Entrepreneurs Scheme is to promote poultry farming as a profitable enterprise by providing financial and technical support to entrepreneurs, thereby increasing egg and meat production and generating rural employment.",New/existing mini to micro poultry or layer farming enterprises; applicants undergo scrutiny and field verification;application guidelines available via Animal Husbandry Dept.,https://mofpi.nic.in/      https://pmfme.mofpi.gov.in/
ASSAM,Dairy Milk Subsidy Scheme,"The main objective of the Dairy Milk Subsidy Scheme is to support dairy farmers by providing financial incentives for milk production, thereby increasing their income and promoting the growth of the dairy sector .",Dairy farmers in Assam receive ?5 per litre subsidy for milklaunched recently to boost productivity and rural economy.,https://www.tn.gov.in/department/animal-husbandry
ASSAM,MOVCD-NER (Organic Value Chain),"The main objective of the Mission Organic Value Chain Development for North Eastern Region (MOVCD-NER) is to promote certified organic farming in the North Eastern states by developing integrated value chains, improving market access, and enhancing farmers income through sustainable agricultural practices.","Assam farmers under this North-East organic scheme must be part of FPOs/FPCs for organic certification, inputs, processing, and marketing support.",https://apeda.gov.in/
ASSAM,NFSM (National Food Security Mission),"The main objective of the National Food Security Mission (NFSM)
is to increase the production of rice, wheat, pulses, coarse cereals, and commercial crops through area expansion, productivity enhancement, and improved farm management practices, thereby ensuring national food security .","Assam farmers across categories (rice, pulses, cereals, commercial crops)receive seeds, fertilizers, tools at 50% subsidy, insurance, and training.",https://agri.assam.gov.in/
ASSAM,PM-KISAN Samman Nidhi,"The main objective of the PM-KISAN Samman Nidhi scheme is to provide assured income support to small and marginal farmers by transferring a fixed amount of financial assistance directly to their bank accounts, helping them meet agricultural and household needs.","Indian farmers; Assam beneficiaries receive ?6,000/year through Direct Benefit Transfer. As of the 18th installment, around 18.87 lakh farmers from Assam have benefitted.",https://pmkisan.gov.in
ASSAM,PMKSY / RKVY / SMAM & Related Schemes,"PMKSY (Pradhan Mantri Krishi Sinchai Yojana)
 To ensure water to every farm (Har Khet Ko Pani) and improve water-use efficiency through better irrigation infrastructure and techniques.
RKVY (Rashtriya Krishi Vikas Yojana)
 To promote holistic agricultural development by providing flexible funds to states for need-based projects that boost productivity and farmers income.
SMAM (Sub-Mission on Agricultural Mechanization)
 To increase the reach of modern farm machinery to small and marginal farmers, reduce drudgery, improve efficiency, and enhance crop productivity.","Farmers gain from schemes enhancing water access (PMKSY), agricultural growth (RKVY), and mechanization via tool banks and custom hiring centers (SMAM).","https://pmksy.gov.in
https://rkvy.nic.in"
ASSAM,Beekeeping & Apiculture (MIDH),"The main objective of Beekeeping & Apiculture under MIDH (Mission for Integrated Development of Horticulture) is to promote beekeeping as an income-generating activity by providing support for modern beekeeping equipment, training, and infrastructure, thereby increasing crop pollination, honey production, and farmers income.","Farmers involved in bee-keeping under Integrated Horticulture receive equipment, training, and colony support via National Bee Board.",https://horticulture.nic.in/
DELHI,                     SCHEME NAMES,                                EXPLANATION,                            BASIC ELIGIBILITY CRITERIA,                                          LINK
DELHI,Soil Health Card Scheme,The main objective of the Soil Health Card Scheme is to assess the nutrient status of farmers soil and provide crop-specific fertilizer recommendations to promote balanced fertilizer use and improve soil health for sustainable agricultural productivity.,"Purpose: Provides soil nutrient analysis to guide balanced fertiliser use.
dmsouthwest.delhi.gov.in
Eligibility: All farmers with cultivated land.
ID/Proof Needed: Land records; possibly Aadhaar for distribution.",https://soilhealth.dac.gov.in/
DELHI,Viksit Krishi Sankalp Abhiyan,"The main objective of the Viksit Krishi Sankalp Abhiyan is to bridge the gap between agricultural research and the farming community by bringing scientific knowledge and innovations directly to farmers, empowering them with timely, location-specific guidance and enabling two-way dialogue to make farming more productive, sustainable, and resilient","Objective: Outreach campaign in 87 villages to impart modern and natural farming techniques.
Eligibility: Farmers in targeted villages covered during MayJune 2025.
Documents Required: Typically Aadhaar or farmer ID; specifics shared during campaign events.",https://kvk.icar.gov.in/kvk_web_list.php?state_name=ASSAM
DELHI,Agri Infrastructure Fund (AIF),"The main objective of the Agriculture Infrastructure Fund (AIF) is to provide financial support through medium- to long-term loan facilities to farmers, FPOs, agri-entrepreneurs, and  ooperatives for building post-harvest management infrastructure and community farming assets , thereby reducing wastage, improving market access, enhancing value realization, and uplifting the entire agriculture ecosystem","Objective: Financing for farm-gate infrastructure like storage, sorting, and cold storage.
Eligibility: Farmers, FPOs, agri-entrepreneurs, cooperatives, etc.
Documents Required: Project proposal, beneficiary identification, linked bank details.",https://agricoop.nic.in/
